Glottocode,LanguageName,macroarea,family_name,latitude,longitude,total_phonemes,n_consonants,n_vowels,n_tones,has_click,has_tone_segment,n_nasal_phonemes,consonant_ratio,vowel_ratio
adio1239,Adioukrou,Africa,Atlantic-Congo,5.38228,-4.52522,31,21,7,3,False,True,4,0.6774,0.2258
adny1235,Adnyamathanha,Australia,Pama-Nyungan,-30.1451,138.671,27,24,3,0,False,False,6,0.8889,0.1111
adyg1241,Adyghe,Eurasia,Abkhaz-Adyge,44.0,39.33,59,56,3,0,False,False,2,0.9492,0.0508
adze1240,Adzera,Papunesia,Austronesian,-6.39394,146.294,25,18,7,0,False,False,3,0.72,0.28
afad1236,KOTOKO,Africa,Afro-Asiatic,12.0551,14.6343,35,27,8,0,False,False,2,0.7714,0.2286
afar1241,Afar,Africa,Afro-Asiatic,12.2281,41.8083,27,17,10,0,False,False,2,0.6296,0.3704
afit1238,Afitti,Africa,Nyimang,12.446,30.7611,26,17,6,3,False,True,4,0.6538,0.2308
afri1274,Afrikaans,Africa,Indo-European,-22.0,30.0,38,16,22,0,False,False,3,0.4211,0.5789
aghe1239,Aghem,Africa,Atlantic-Congo,6.38956,10.0807,42,21,19,2,False,True,5,0.5,0.4524
aghu1254,Aghu Tharnggala,Australia,Pama-Nyungan,-13.735,142.426,27,20,7,0,False,False,5,0.7407,0.2593
agua1253,Aguaruna,South America,Chicham,-5.30044,-77.9218,20,12,8,0,False,False,6,0.6,0.4
ahan1243,Ahanta,Africa,Atlantic-Congo,4.85147,-1.94657,40,24,14,2,False,True,10,0.6,0.35
ahan1244,Ahaan,Africa,Atlantic-Congo,7.44139,6.00896,43,26,14,3,False,True,11,0.6047,0.3256
aheu1239,So,Eurasia,Austroasiatic,17.7655,104.229,71,21,50,0,False,False,4,0.2958,0.7042
ahte1237,AHTNA,North America,Athabaskan-Eyak-Tlingit,61.7068,-144.889,34,29,5,0,False,False,3,0.8529,0.1471
ainu1240,Ainu,Eurasia,Ainu,43.633654,142.46167,17,12,5,0,False,False,2,0.7059,0.2941
ajab1235,Adja,Africa,Atlantic-Congo,7.06634,1.64992,45,28,12,5,False,True,9,0.6222,0.2667
ajas1235,aja,Africa,Kresh-Aja,8.58003,25.6122,48,38,10,0,False,False,4,0.7917,0.2083
ajyi1238,Ashéninka,South America,Arawakan,-9.82364,-74.61947,26,20,6,0,False,False,4,0.7692,0.2308
akan1250,Akan,Africa,Atlantic-Congo,6.34756,-1.33254,60,28,30,2,False,True,16,0.4667,0.5
akas1242,Akasilimi,Africa,Atlantic-Congo,8.8858,1.37035,52,20,29,3,False,True,14,0.3846,0.5577
akaw1239,AKAWAIO,South America,Cariban,6.16277,-60.862,23,13,10,0,False,False,2,0.5652,0.4348
akha1245,Akha,Eurasia,Sino-Tibetan,21.2309,100.964,57,34,23,0,False,False,7,0.5965,0.4035
akla1241,Aklan,Papunesia,Austronesian,11.5543,122.354,20,17,3,0,False,False,3,0.85,0.15
akoo1248,Akɔɔse,Africa,Atlantic-Congo,4.9243,9.65522,44,22,18,4,False,True,4,0.5,0.4091
akpe1248,Akpes,Africa,Atlantic-Congo,7.50256,5.95559,34,21,10,3,False,True,6,0.6176,0.2941
akun1241,Akuntsú,South America,Tupian,-12.8322,-60.9716,22,11,11,0,False,False,8,0.5,0.5
akur1238,Akurio,South America,Cariban,3.19607,-55.6294,24,10,14,0,False,False,2,0.4167,0.5833
alab1237,Alabama,North America,Muskogean,30.76738,-94.62848,21,15,6,0,False,False,2,0.7143,0.2857
alab1254,Alaaba,Africa,Afro-Asiatic,7.39014,38.1732,61,51,10,0,False,False,6,0.8361,0.1639
alam1246,ALAMBLAK,Papunesia,Sepik,-4.66307,143.316,25,18,7,0,False,False,3,0.72,0.28
alaw1244,Alawa,Australia,Mangarrayi-Maran,-15.5458,134.282,28,23,5,0,False,False,5,0.8214,0.1786
aleu1260,Aleut,North America,Eskimo-Aleut,52.1228,-174.29,36,30,6,0,False,False,6,0.8333,0.1667
alla1248,Alladian,Africa,Atlantic-Congo,5.22371,-4.42647,36,23,11,2,False,True,6,0.6389,0.3056
alng1239,Alngith,Australia,Pama-Nyungan,-12.5324,141.938,28,24,4,0,False,False,5,0.8571,0.1429
alut1245,Alutor,Eurasia,Chukotko-Kamchatkan,60.3844,165.653,27,18,9,0,False,False,4,0.6667,0.3333
alya1239,Alyawarr,Australia,Pama-Nyungan,-21.0427,136.835,43,40,3,0,False,False,12,0.9302,0.0698
amah1246,Amahuaca,South America,Pano-Tacanan,-10.2012,-72.3208,23,15,8,0,False,False,6,0.6522,0.3478
aman1265,Amanab,Papunesia,Border,-3.51516,141.178,19,14,5,0,False,False,3,0.7368,0.2632
amar1271,Amurdak,Australia,Iwaidjan Proper,-11.9876,132.878,24,21,3,0,False,False,5,0.875,0.125
amar1274,Amarakaeri,South America,Harakmbut,-12.4931,-70.5533,33,15,18,0,False,False,11,0.4545,0.5455
amas1236,NYIMANG,Africa,Nyimang,12.0993,29.4332,25,18,7,0,False,False,4,0.72,0.28
ambe1247,Ambele,Africa,Atlantic-Congo,5.94043,9.62028,51,38,10,3,False,True,5,0.7451,0.1961
ambo1250,Ambon Malay,Papunesia,Austronesian,-3.71342,128.184,23,18,5,0,False,False,4,0.7826,0.2174
ambu1247,Abulas,Papunesia,Ndu,-3.7801,143.059,24,17,7,0,False,False,4,0.7083,0.2917
amdo1237,Khalong Tibetan,Eurasia,Sino-Tibetan,34.5177,100.485,59,53,6,0,False,False,8,0.8983,0.1017
amel1241,AMELE,Papunesia,Nuclear Trans New Guinea,-5.29126,145.687,19,14,5,0,False,False,2,0.7368,0.2632
amha1245,Amharic,Africa,Afro-Asiatic,11.708182,39.543456,65,58,7,0,False,False,9,0.8923,0.1077
amii1238,Emmi,Australia,Western Daly,-13.5573,130.04,32,27,5,0,False,False,6,0.8438,0.1562
