Glottocode,LanguageName,macroarea,family_name,latitude,longitude,total_phonemes,has_click,has_tone_segment,kmeans_cluster,kmeans6_cluster,hier_cluster
hang1258,Hanga,Africa,Atlantic-Congo,9.33929,-1.57833,29,False,False,9,4,4
hang1260,Kihangaza,Africa,Atlantic-Congo,-2.52347,30.7074,35,False,True,7,3,3
hang1263,Hanga Hundi; Kwasengen; West Wosera,Papunesia,Ndu,-3.90364,142.849,23,False,False,8,2,9
hara1271,Harari,Africa,Afro-Asiatic,9.30485,42.1332,33,False,False,7,3,3
haus1257,Hausa,Africa,Afro-Asiatic,11.1513,8.7804,45,False,True,7,3,3
hawa1245,Hawaiian,Papunesia,Austronesian,19.6297,-155.43,19,False,False,6,5,7
hawk1239,Darkinyung,Australia,Pama-Nyungan,-33.11470744,150.4952383,18,False,False,2,1,1
haya1250,Haya,Africa,Atlantic-Congo,-1.70878,31.4846,29,False,False,7,3,3
hdii1240,Hide,Africa,Afro-Asiatic,10.942,13.6881,41,False,False,9,2,4
hebr1245,Modern Hebrew,Eurasia,Afro-Asiatic,31.1056,35.0179,30,False,False,6,5,7
heib1243,Heiban,Africa,Heibanic,11.2908,30.5282,28,False,False,8,2,9
hela1238,Yolmo,Eurasia,Sino-Tibetan,27.9212,85.6289,46,False,False,7,3,3
here1253,herero,Africa,Atlantic-Congo,-21.0231,20.5655,26,False,True,2,5,7
hili1240,Hiligaynon,Papunesia,Austronesian,10.4018,122.974,19,False,False,8,2,9
hind1269,Hindi-Urdu,Eurasia,Indo-European,25.0,77.0,94,False,False,5,2,8
hixk1239,HIXKARYANA,South America,Cariban,-0.16265,-58.80153,23,False,False,6,5,7
hmon1264,Hmong Njua,Eurasia,Hmong-Mien,22.5638,101.95,61,False,False,1,5,10
hoav1238,Hoava,Papunesia,Austronesian,-8.19679,157.595,21,False,False,8,2,7
holo1240,Holoholo,Africa,Atlantic-Congo,-5.37545,28.3274,23,False,True,2,1,8
hooo1248,Ho,Eurasia,Austroasiatic,23.9596,87.1188,43,False,False,5,3,8
hopi1249,Hopi,North America,Uto-Aztecan,35.7653,-110.535,49,False,False,6,5,7
huaa1248,!Xóõ,Africa,Tuu,-24.20022,20.79583,161,True,True,10,2,8
hual1241,Huallaga Huánuco Quechua,South America,Quechuan,-9.57135,-75.594,22,False,False,6,5,7
huam1247,Huambisa,South America,Chicham,-3.99109,-77.9797,23,False,False,10,5,7
huam1248,Huallaga (Huanuco) Quechua,South America,Quechuan,-9.15718,-76.3372,23,False,False,6,5,7
huar1255,Warihio,North America,Uto-Aztecan,27.8685,-108.437,26,False,False,6,5,7
huas1242,Huastec,North America,Mayan,21.6153,-98.5028,32,False,False,6,1,7
huay1240,Huaylas,South America,Quechuan,-9.38709,-77.7768,30,False,False,7,3,3
huba1236,Kilba,Africa,Afro-Asiatic,10.3544,13.139,31,False,True,9,2,8
hueh1236,"Tepehua, Huehuetla; Tepehua de Hidalgo; Tepehua de Huehuetla",North America,Totonacan,20.6189,-97.9347,31,False,False,6,5,7
huic1243,Huichol,North America,Uto-Aztecan,21.954,-104.062,25,False,False,6,5,7
huml1238,Humla Bhotia,Eurasia,Sino-Tibetan,30.1451,81.5659,69,False,False,7,3,3
hung1274,Hungarian,Eurasia,Uralic,46.9068585714,19.6555271429,65,False,False,7,3,4
hung1278,Kihungan,Africa,Atlantic-Congo,-3.69695,18.4312,33,False,True,7,3,4
hunz1247,Hunzib,Eurasia,Nakh-Daghestanian,42.0808,46.1369,57,False,False,10,3,7
hupa1239,Hupa,North America,Athabaskan-Eyak-Tlingit,41.0982,-123.68,42,False,False,6,5,10
hupd1244,Hup,South America,Naduhup,0.58622,-69.8359,34,False,False,10,5,6
huro1249,Huron,North America,Iroquoian,44.33,-77.5,17,False,False,6,5,6
iaai1238,Iai,Papunesia,Austronesian,-20.6301,166.59,52,False,False,7,3,3
iban1261,Ibani,Africa,Ijoid,4.49119,7.23558,37,False,True,9,4,4
iban1264,IBAN,Papunesia,Austronesian,2.09041,112.934,25,False,False,8,2,9
ibib1240,Ibibio,Africa,Atlantic-Congo,5.15279,7.86688,32,False,True,7,3,3
icel1247,Icelandic,Eurasia,Indo-European,63.4837,-19.0212,45,False,False,2,1,8
idaa1241,Ida''an',Papunesia,Austronesian,5.29059,118.515,23,False,False,8,2,9
idom1241,Idu,Africa,Atlantic-Congo,7.19139,7.71261,64,False,True,3,3,5
ifee1241,Ifɛ̀,Africa,Atlantic-Congo,7.63568,1.58494,34,False,True,3,4,5
iged1239,Igede,Africa,Atlantic-Congo,6.95522,8.27362,38,False,True,9,4,4
igna1246,Moxo,South America,Arawakan,-15.1188,-65.3993,25,False,False,6,5,9
igoo1238,Igo,Africa,Atlantic-Congo,7.25499,0.67846,33,False,True,9,4,4
ikal1242,Ikalanga,Africa,Atlantic-Congo,-21.2887,27.401,68,False,True,9,4,4
ikar1243,Takalak,Australia,Pama-Nyungan,-15.538,143.349,27,False,False,2,1,1
ikkk1242,IK,Africa,Kuliak,3.61407,34.2507,44,False,False,5,2,8
ikpe1245,Ikpeng,South America,Cariban,-11.37822,-53.49553,18,False,False,8,5,7
ikwe1242,Ikwere,Africa,Atlantic-Congo,5.04333,6.86651,46,False,True,3,4,5
ikwo1238,Ikwo,Africa,Atlantic-Congo,6.31831,8.03044,40,False,True,9,4,4
ilga1238,Ilgar,Australia,Iwaidjan Proper,-11.412,132.182,24,False,False,4,6,2
ilok1237,Ilocano,Papunesia,Austronesian,15.9361,120.993,25,False,False,2,1,8
imba1240,Imbabura Quichua,South America,Quechuan,0.31776,-78.3729,20,False,False,6,5,7
imon1245,Imonda,Papunesia,Border,-3.31228,141.171,22,False,False,8,2,9
inap1243,Iñapari,South America,Arawakan,-12.4653,-69.3083,31,False,False,10,5,6
indo1316,Indonesian,Papunesia,Austronesian,-7.33458,109.716,27,False,False,8,2,9
indo1317,SAMA,Papunesia,Austronesian,-3.68664,122.253,32,False,False,2,1,7
inga1252,Inga,South America,Quechuan,1.00313,-76.8606,22,False,False,8,2,7
ingu1240,Ingush,Eurasia,Nakh-Daghestanian,43.11,45.03,69,False,False,1,2,10
inor1238,Ennemor,Africa,Afro-Asiatic,7.94883,37.7968,47,False,False,1,2,9
iqui1243,Iquito,South America,Zaparoan,-3.31233,-73.97046,19,False,False,6,5,7
iraq1241,Iraqw,Africa,Afro-Asiatic,-4.19948,35.2939,48,False,True,7,3,8
irar1238,IRARUTU,Papunesia,Austronesian,-2.94438,133.586,19,False,False,2,1,8
irig1241,Rigwe,Africa,Atlantic-Congo,9.85197,8.6525,95,False,True,3,4,5
iris1253,Irish Gaelic,Eurasia,Indo-European,53.2186,-7.61509,68,False,False,2,1,8
irul1243,Irula,Eurasia,Dravidian,12.70645,79.95209,52,False,False,5,2,8
ishk1246,Ishkashimi,Eurasia,Indo-European,36.67,71.55,39,False,False,1,2,8
isla1278,Island Carib,North America,Arawakan,15.364795,-61.342957,29,False,False,10,5,6
isok1239,ISOKO,Africa,Atlantic-Congo,5.52889,6.24682,37,False,False,9,2,8
isth1244,Isthmus (Juchitán) Zapotec,North America,Otomanguean,16.4548,-94.8444,32,False,True,6,5,7
ital1282,Italian,Eurasia,Indo-European,43.0464,12.6489,69,False,False,8,2,8
itel1242,Itelmen,Eurasia,Chukotko-Kamchatkan,56.046173,156.30704,32,False,False,2,1,7
iumi1238,Yao,Eurasia,Hmong-Mien,20.83,101.17,49,False,True,8,2,10
ivat1242,IVATAN,Papunesia,Austronesian,20.77,121.85,20,False,False,8,2,9
iwai1244,Iwaidja,Australia,Iwaidjan Proper,-11.3379,132.453,23,False,False,4,6,2
iwam1256,IWAM,Papunesia,Sepik,-4.27346,141.817,17,False,False,2,5,7
iyiv1238,Iyive,Africa,Atlantic-Congo,6.50437,9.53302,63,False,True,9,4,4
iyow1239,Chorote,South America,Matacoan,-22.2067,-62.6508,21,False,False,6,5,9
izer1241,Hill Jarawa,Africa,Atlantic-Congo,9.5,8.7,39,False,False,9,4,4
izii1239,Izi,Africa,Atlantic-Congo,6.33,8.0,51,False,True,9,4,4
izon1238,KOLOKUMA IJO,Africa,Ijoid,5.17986,5.51702,37,False,False,3,4,5
jahh1242,Jah-Hut,Eurasia,Austroasiatic,3.67619,102.291,52,False,False,3,4,6
jama1261,Jarawara,South America,Arawan,-7.62223,-66.5662,19,False,False,6,5,7
jama1262,Jamaican Creole,North America,Indo-European,18.13,-77.2612,33,False,False,7,2,3
jams1239,"Jamsay, Dogon",Africa,Dogon,14.1794,-2.57999,43,False,True,7,3,3
jand1248,Jandai,Australia,Pama-Nyungan,-27.87647555,152.4602773,19,False,False,2,1,1
japh1234,Japhug,Eurasia,Sino-Tibetan,32.1,102.36,58,False,False,8,2,10
japr1238,JAPRERIA,South America,Cariban,10.5523,-72.7101,24,False,False,2,1,7
jaqa1244,Aymara,South America,Aymaran,-12.741939,-75.809231,42,False,False,6,5,10
jaru1254,Jaru,Australia,Pama-Nyungan,-18.3288,128.262,23,False,False,4,6,2
jauj1238,Huanca,South America,Quechuan,-11.6747,-75.2786,27,False,False,8,2,9
jaun1243,Jaunsari,Eurasia,Indo-European,30.5587,77.9084,51,False,False,5,2,8
java1254,Javanese,Papunesia,Austronesian,-7.001,109.287,30,False,False,8,2,7
jebe1250,JEBERO,South America,Cahuapanan,-5.40317,-76.4103,22,False,False,2,1,7
jeme1245,Jemez,North America,Kiowa-Tanoan,35.5994,-106.766,48,False,False,1,5,3
jenn1240,Kattunaika,Eurasia,Dravidian,11.5041,76.5767,33,False,False,5,2,8
jere1244,Jere,Africa,Atlantic-Congo,10.1962,8.95834,44,False,True,7,3,3
jerr1238,Jèrriais,Eurasia,Indo-European,48.0,2.0,55,False,False,1,2,4
jiar1240,Caodeng rGyalrong,Eurasia,Sino-Tibetan,31.60295,102.22875,63,False,False,1,2,10
jica1244,Jicarilla Apache,North America,Athabaskan-Eyak-Tlingit,36.8079,-107.007,55,False,True,2,1,8
jita1239,Jita,Africa,Atlantic-Congo,-1.62681,33.9141,29,False,True,7,3,3
jola1262,Joola Huluf,Africa,Atlantic-Congo,12.5089,-16.5539,50,False,False,7,3,3
jola1263,Joola,Africa,Atlantic-Congo,12.75752,-15.7354766667,29,False,False,7,3,3
jowu1238,jowulu,Africa,Mande,10.7691,-5.47873,45,False,True,3,3,5
juan1238,Juang,Eurasia,Austroasiatic,21.2606,85.5845,37,False,False,7,3,3
jude1256,Juhuri,Eurasia,Indo-European,42.068306,48.264749,31,False,False,1,2,10
juho1239,!XU,Africa,Kxa,-19.688,20.7673,140,True,False,1,2,10
juma1249,Júma,South America,Tupian,-7.27501,-64.0998,24,False,False,10,5,6
jumj1238,Jumjum,Africa,Nilotic,10.4349,33.7494,39,False,True,7,3,3
jung1240,Inga,South America,Quechuan,0.88872,-76.6593,16,False,False,6,5,7
jurm1239,Jur mödö,Africa,Central Sudanic,6.03321,29.974,49,False,False,7,3,3
juru1256,Jurúna,South America,Tupian,-10.9354,-53.3472,28,False,False,10,5,6
kaba1278,Kabardian,Eurasia,Abkhaz-Adyge,43.5082,43.3918,63,False,False,1,2,9
kabi1260,Butchulla,Australia,Pama-Nyungan,-25.44486229,153.1539929,24,False,False,2,1,1
kabi1261,Kabiyɛ,Africa,Atlantic-Congo,8.96816,0.495023,46,False,False,7,3,3
kabu1256,Cape Verde Creole,Africa,Indo-European,15.0586,-23.6148,27,False,False,8,2,4
kaby1243,Kabyle,Africa,Afro-Asiatic,36.4103,4.76137,30,False,False,1,2,9
kach1280,JINGPHO,Eurasia,Sino-Tibetan,25.4634,97.3278,29,False,False,2,1,7
kadi1248,Kadiweu,South America,Guaicuruan,-19.7222,-57.582,31,False,False,2,1,8
kafa1242,KEFA,Africa,Ta-Ne-Omotic,7.34022,36.1718,24,False,False,2,1,7
kagf1238,West Kainji,Africa,Atlantic-Congo,11.5319,4.8387,55,False,True,7,3,3
kagu1239,Kagulu,Africa,Atlantic-Congo,-6.38204,37.0534,31,False,False,8,2,9
kahe1238,Kikahe,Africa,Atlantic-Congo,-3.51412,37.5759,32,False,False,7,3,3
kain1272,KAINGANG,South America,Nuclear-Macro-Je,-27.7671,-52.5394,27,False,False,10,5,6
kaiw1246,Kaiwá,South America,Tupian,-24.589,-54.6815,26,False,False,10,5,6
kaka1265,Kakabe,Africa,Mande,10.5962,-11.4418,38,False,True,7,3,3
kako1242,Kakɔ,Africa,Atlantic-Congo,3.79989,15.6282,50,False,True,3,4,5
kala1377,KALA LAGAW YA,Australia,Pama-Nyungan,-10.6748,142.196,24,False,False,8,2,9
kala1378,Kala Kawaw Ya,Australia,Pama-Nyungan,-10.6748,142.196,24,False,False,2,1,1
kala1379,Galaagu,Australia,Pama-Nyungan,-31.7154,118.911,26,False,False,4,6,2
kala1380,Garlali,Australia,Pama-Nyungan,-29.2411,143.216,21,False,False,4,6,2
kala1381,Kalabari; Kirike; Kalabari-Ijo,Africa,Ijoid,4.53194,6.69539,42,False,True,3,4,5
kala1399,Inuit,North America,Eskimo-Aleut,69.3761,-52.864,38,False,False,6,5,7
kala1401,Kalaamaya,Australia,Pama-Nyungan,-30.245,120.223,26,False,False,4,6,2
